IPLAUKU_DATA;SALTINIO_PAV;IMOKOS_KODAI;APRASYMAS;SUMA
27-JAN-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";431048.36
26-JAN-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";415290.96
25-JAN-16;VMI;22K;"Pajamos iš mokesčių inspekcijos";250195.74
14-DEC-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";201333.35
14-DEC-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";442394.76
09-DEC-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";718063.57
09-DEC-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";65453.58
28-OCT-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";225534.23
22-OCT-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";458135.16
14-SEP-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";48193.89
14-SEP-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";749944.64
01-JUL-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";3991040.58
25-JUN-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";522712.21
08-MAY-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";914862.54
22-APR-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";206348.87
22-APR-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";6912.08
22-APR-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";333265.53
16-APR-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";2679359.51
21-APR-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";537803.64
09-APR-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";1107311.35
17-MAR-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";2132277.07
20-FEB-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";463392.06
30-DEC-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";1967730.09
27-MAY-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";189036.35
09-FEB-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";1257622.33
12-JAN-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";1083.73
10-FEB-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";820126.88
18-FEB-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";923913.85
26-NOV-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";299913.73
01-SEP-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";1616294.83
02-SEP-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";354445.2
10-JUN-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";650071.45
15-JUN-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";1247556.37
19-MAY-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";469281.83
