SISTEMINIS_NUMERIS;DEPARTAMENTAS;SUTARTIES_TIPAS;SUTARTIES_NUMERIS;SUDARYMO_METAI;SUTARTIES_PRADZIOS_DATA;SUTARTIES_PABAIGOS_DATA;TIEKEJAS;TIEKEJO_KODAS;SUTARTIES_APRASAS;SUTARTIES_SUMA
7815;"Vilniaus miesto savivaldybės administracija";"Sutarties priedas";A64-205/15(3.10.22-TD2);2015;12-NOV-15;;"Asseco Lietuva, UAB";302631095;"Papildomas susitarimas prie 2014-12-11 Dokumentų valdymo sistemos ""AVILYS"" palaikymo ir vystymo paslaugos pirkimo sutarties Nr. A64-199(3.10.22-AD4)";
7818;"Vilniaus miesto savivaldybės administracija";"Viešasis pirkimas";Nr.A62-106/15(3.10.21-TD2);2015;05-NOV-15;20-NOV-15;"Ksil Pasaulis, UAB";300079723;"Vaikų žaidimų aikštelė su karusele ir supynėmis.";2200
7819;"Vilniaus miesto savivaldybės administracija";"Viešasis pirkimas";A62-105/15(3.10.21-TD2);2015;04-NOV-15;20-NOV-15;"Ksil Pasaulis, UAB";300079723;"Vailų žaidimų aikštelė su multifunkciniais įrenginiais ir medine smėlio dėže.";2500
7823;"Vilniaus miesto savivaldybės administracija";"Kiti pirkimai";A72-1337/15(3.1.36-TD2);2015;26-NOV-15;01-JAN-16;"Vilniaus miesto kompleksinių paslaugų centras „Šeimos slėnis“";191645111;"Visuomen4s sveikatos rėmimo specialiosios programos priemonės vykdymo ir lėšų tikslinio naudojimo sutartis";19995
7833;"Vilniaus miesto savivaldybės administracija";"Kiti pirkimai";A72-1304/15(3.1.36-TD2);2015;06-OCT-15;31-JAN-16;"Diginet lt UAB";300118172;"Dėl skelbimų apie nekilnojamąjį turtą";1051.32
7837;"Vilniaus miesto savivaldybės administracija";"Kiti pirkimai";o;2015;13-NOV-15;05-JAN-19;"Lesto, AB (Išregistruotas: juridiniam asmeniui pasibaigus po reorganizavimo)";302577612;"Sugadinta s";2886360.38
7838;"Vilniaus miesto savivaldybės administracija";"Kiti pirkimai";A72-6361/15(3.1.36-AD4);2015;11-MAY-15;11-MAY-25;"Vilniaus vandenys, UAB";120545849;"Geriamojo vandens tiekimo ir nuotekų tvarkymo sutartis";
7844;"Vilniaus miesto savivaldybės administracija";"Kiti pirkimai";"Nr. 30-1707";2012;31-AUG-12;31-DEC-17;"Verkių būstas, UAB";302813393;"Įsakymas dėl UAB ""Verkių būstas"" skyrimo Vilniaus miesto daugiabūčių namų patalpų savininkų bendrosios nuosavybės administratore";
7852;"Vilniaus miesto savivaldybės administracija";"Viešasis pirkimas";A72-1357/15(3.1.36-TD2);2015;02-DEC-15;31-DEC-15;"Lietuvos gamtos mokslų olimpiadų asociacija";195751927;"Finansavimo sutartis jaunimo programai ""Ne imti, bet duoti"" vykdyti";500
7855;"Vilniaus miesto savivaldybės administracija";"Kiti pirkimai";"NŽT 15V-016907";2015;24-NOV-15;24-MAY-16;"Nacionalinė žemės tarnyba";188704927;"Sąskaita faktūra NŽT";404.46
7859;"Vilniaus miesto savivaldybės administracija";"Viešasis pirkimas";A64-184/15(3.10.22-AD4);2015;20-OCT-15;01-DEC-15;"Novian Systems, UAB";125774645;"Valstybinės žemės nuomos mokesčio administravimo sistemos palaikymo ir plėtros paslaugos";5880
7863;"Vilniaus miesto savivaldybės administracija";"Viešasis pirkimas";A68-36/15(3.10.23-AD4);2015;15-OCT-15;15-OCT-16;"OFFICE SYSTEM, UAB";300051282;"Pagrindinė sutartis CPO75020";1501.09
