SASKAITOS_METAI;KREDITORIUS;KREDITORIAUS_NR;SUTARTIES_NR;SASKAITOS_DATA;SASKAITOS_NR;DK_DATA;TERMS_DATE;TREMINAS;VALIUTA;INVOICE_TYPE_LOOKUP_CODE;FIN_SALTINIS;PRIEMONE;SAMATA;EKON_KLAS;ASIGNAV_VALDYTOJAS;ASIGN_VALD_APRASAS;EILUTES_SUMA;APMOKETA_SUMA;SKOLOS_SUMA;SKOLOS_SUMA_ES;DEPARTAMENTAS
2022;"Pastatų priežiūros tarnyba UAB";302686921;;30-JUN-22;PPT108074;30-JUN-22;30-JUN-22;"30 dienų";EUR;STANDARD;01;201010102;4000153;2.2.1.1.1.30.L.;0000000;Nedetalizuojama;37.66;0;37.66;;"Vilniaus suaugusiųjų mokymo centras EUR"
2022;"LŠDPS Vilniaus miesto susivienijimas";301743700;;30-JUN-22;Prof.2022.06;30-JUN-22;30-JUN-22;Nedelsiant;EUR;STANDARD;0205;201010101;4000181;2.1.1.1.1.1.;188710061;"Savivaldybės administracija";555.28;194.89;360.39;;"Vilniaus Karoliniškių gimnazija EUR"
2022;"Sanus Cibus UAB";304626392;;30-JUN-22;SAN4511;30-JUN-22;30-JUN-22;Nedelsiant;EUR;STANDARD;01;201030102;4000011;2.2.1.1.1.30.L.;188710061;"Savivaldybės administracija";350;0;350;;"Vilniaus lopšelis-darželis ""Jovarėlis"" EUR"
2022;"Telia Lietuva, AB";121215434;;30-JUN-22;"SAP 247175930";30-JUN-22;30-JUN-22;"30 dienų";EUR;STANDARD;20;201090202;4000231;2.2.1.1.1.5.;0000000;Nedetalizuojama;89.94;0;89.94;;"Vilniaus suaugusiųjų mokymo centras EUR"
2022;"VSDF valdyba prie SADM";191630223;;30-JUN-22;"SD ML.2022.06 d.";30-JUN-22;30-JUN-22;Nedelsiant;EUR;STANDARD;0205;201010101;4000181;2.1.2.1.1.1.;188710061;"Savivaldybės administracija";3523.72;3523.27;.45;;"Vilniaus Karoliniškių gimnazija EUR"
2022;"VSDF valdyba prie SADM";191630223;;30-JUN-22;"SD PAG.2022.06 d.";30-JUN-22;30-JUN-22;Nedelsiant;EUR;STANDARD;0205;201010101;4000427;2.1.2.1.1.1.;188710061;"Savivaldybės administracija";263.75;261.09;2.66;;"Vilniaus Karoliniškių gimnazija EUR"
2022;"VSDF valdyba prie SADM";191630223;;30-JUN-22;SD(0205-433)p;30-JUN-22;30-JUN-22;Nedelsiant;EUR;STANDARD;0205;201010101;4000433;2.1.2.1.1.1.;188710061;"Savivaldybės administracija";33.37;0;33.37;;"Vilniaus Naujininkų mokykla EUR"
2022;"SQUALIO Lietuva, UAB (DPA Lietuva, UAB)";300110318;;30-JUN-22;SF00017487;30-JUN-22;30-JUN-22;"90 dienų";EUR;STANDARD;2M21;203010302;6000797;2.2.1.1.1.21.;188710061;"Savivaldybės administracija";1252.11;0;1252.11;;"Vilniaus miesto savivaldybės visuomenės sveikatos biuras EUR"
2022;"Handelshus, UAB";221412030;;30-JUN-22;SUA1496729;30-JUN-22;30-JUN-22;"20 dienų";EUR;STANDARD;20;201090201;4000070;2.2.1.1.1.1.;0000000;Nedetalizuojama;84.79;0;84.79;;"Biudžetinių įstaigų buhalterinė apskaita EUR"
2022;"Handelshus, UAB";221412030;;30-JUN-22;SUA1496729;30-JUN-22;30-JUN-22;"20 dienų";EUR;STANDARD;20;201090201;4000070;2.2.1.1.1.1.;0000000;Nedetalizuojama;17.81;0;17.81;;"Biudžetinių įstaigų buhalterinė apskaita EUR"
2022;"Švarus pasaulis, UAB";300658389;;30-JUN-22;SVO00011749;30-JUN-22;30-JUN-22;Nedelsiant;EUR;STANDARD;01;201030105;4000115;2.2.1.1.1.30.L.;188710061;"Savivaldybės administracija";91.96;0;91.96;;"Vilniaus „Vyturio“ pradinė mokykla EUR"
2022;"Bitė Lietuva, UAB";110688998;;30-JUN-22;TA0053530085;30-JUN-22;30-JUN-22;Nedelsiant;EUR;STANDARD;01;201010102;4000151;2.2.1.1.1.21.;188710061;"Savivaldybės administracija";115.89;0;115.89;;"Vilniaus Atgajos specialioji mokykla EUR"
2022;"Bitė Lietuva, UAB";110688998;;30-JUN-22;TA0053530085/p;30-JUN-22;30-JUN-22;Nedelsiant;EUR;STANDARD;01;201010102;4000151;2.2.1.1.1.30.L.;188710061;"Savivaldybės administracija";5.11;0;5.11;;"Vilniaus Atgajos specialioji mokykla EUR"
