KODAS;PAVADINIMAS;GALIOJA;SUMINE;SUKURIMO_DATA;MODIFIKAVIMO_DATA
1000105;"Dėl ekonomikos krizės  neproporcingai sumažinto darbo užmokesčio (atlyginimo) dalies grąžinimas";Y;N;08-FEB-17;08-FEB-17
1000106;"Neveiksnių asmenų būklės peržiūrėjimo užtikrinimas";Y;N;08-FEB-17;08-FEB-17
1000107;"Savivaldybėms priskirtų archyvinių dokumentų tvarkymas";Y;N;22-FEB-17;22-FEB-17
1000108;"Dalyvavimas rengiant ir įgyvendinant darbo rinkos politikos priemones ir gyventojų užimtumo programas (Viešieji darbai)";Y;N;23-FEB-17;23-FEB-17
1000109;"Dalyvavimas rengiant ir įgyvendinant darbo rinkos politikos priemones ir gyventojų užimtumo programas (Užimtumo didinimo programa)";Y;N;10-NOV-17;10-NOV-17
1000110;Nenaudojama;Y;N;20-NOV-07;10-NOV-17
1000111;"Socialinės reabilitacijos paslaugų neįgaliesiems bendruomenėje projektų administravimas";Y;N;22-FEB-18;22-FEB-18
1000115;"Dėl ekonomikos krizės neproporcingai sumažinto darbo užmokesčio (atlyginimo) dalies grąžinimas (20 proc.)";Y;N;22-FEB-18;22-FEB-18
1000116;"Koordinuotai teikiamų paslaugų vaikams nuo gimimo iki 18 metų (turintiems didelių ir labai didelių specialiųjų ugdymosi poreikių – iki 21 metų) ir vaiko atstovams koordinavimas";Y;N;07-MAR-18;29-JAN-21
1000117;"Institucijos valdymo išlaidos (Tarpinstitucinio bendradarbiavimo koordinavimo skyrius)";Y;N;02-JUL-18;02-JUL-18
1000118;"Institucijos valdymo išlaidos (Administracija). Kitos išlaidos";Y;N;31-DEC-19;31-DEC-19
1000119;"Institucijos valdymo išlaidos (Seniūnijos). Kitos išlaidos";Y;N;31-DEC-19;31-DEC-19
1000120;Nenaudojama;Y;N;20-NOV-07;31-DEC-19
1000121;"Institucijos valdymo išlaidos (Miesto planavimo ir architektūros, Miestovaizdžio, Kultūros paveldo apsaugos, Statybos reglamentavimo, Teritorijų planavimo ir plėtros projektų, Žemės tvarkymo ir administravimo skyriai). Kitos išlaidos";Y;N;31-DEC-19;04-NOV-21
1000122;"Institucijos valdymo išlaidos (Infrastruktūros skyrius, Būsto administravimo skyrius, Eismo organizavimo skyrius, Energetikos skyrius, Miesto tvarkymo ir aplinkos apsaugos skyrius). Kitos išlaidos";Y;N;31-DEC-19;04-NOV-21
1000123;"Institucijos valdymo išlaidos (Sveikatos apsaugos skyrius). Kitos išlaidos";Y;N;31-DEC-19;31-DEC-19
1000124;"Institucijos valdymo išlaidos (Socialinių paslaugų skyrius). Kitos išlaidos";Y;N;31-DEC-19;31-DEC-19
1000125;"Institucijos valdymo išlaidos (Kultūros skyrius, Sporto ir sveikatingumo skyrius). Kitos išlaidos";Y;N;31-DEC-19;31-DEC-19
1000126;"Institucijos valdymo išlaidos (Švietimo aplinkos skyrius, Bendrojo ugdymo skyrius, Ikimokyklinio ugdymo skyrius). Kitos išlaidos";Y;N;31-DEC-19;31-DEC-19
1000127;"Institucijos valdymo išlaidos (Administracinės veiklos skyrius, Administracinių bylų nagrinėjimo skyrius, Administracinių nusižengimų tyrimo skyrius, Viešosios tvarkos skyrius). Kitos išlaidos";Y;N;31-DEC-19;31-DEC-19
1000128;"Dalyvavimas rengiant ir vykdant mobilizaciją";Y;N;31-DEC-19;31-DEC-19
1000129;"Civilinė sauga";Y;N;31-DEC-19;31-DEC-19
1000130;Nenaudojama;Y;N;20-NOV-07;31-DEC-19
1000131;"Koordinuotai teikiamų paslaugų vaikams nuo gimimo iki 18 metų (turintiems didelių ir labai didelių specialiųjų ugdymosi poreikių – iki 21 metų) ir vaiko atstovams koordinavimas";Y;N;31-DEC-19;29-JAN-21
1000132;"Bendruomenių patalpų išlaikymo išlaidos";Y;N;31-DEC-19;31-DEC-19
1000133;"Seniūnaičių veiklos finansavimas";Y;N;31-DEC-19;31-DEC-19
1000134;"Socialinių išmokų ir kompensacijų administravimas";Y;N;22-JAN-20;22-JAN-20
1000135;"Ekstremalių situacijų likvidavimas";Y;N;19-MAR-20;19-MAR-20
1000136;"Vienkartinės išmokos vaikams administravimas (finansavimo šaltinis 1.1.1.1.5)";Y;N;27-JUL-20;27-JUL-20
1000137;"Vienkartinės išmokos vaikams administravimas (finansavimo šaltinis 1.1.1.1.1)";Y;N;27-JUL-20;27-JUL-20
1000138;"Išlaidų, patirtų siekiant šalinti COVID-19 ligos (koronaviruso infekcijos) padarinius ir valdyti jos plitimą esant valstybės lygio ekstremaliajai situacijai, kompensavimas";Y;N;07-SEP-20;07-SEP-20
1000139;"Socialinės paramos mokiniams administravimas (Socialinių išmokų skyrius)";Y;N;01-DEC-20;01-DEC-20
1000140;Nenaudojama;Y;N;20-NOV-07;29-JAN-21
1000141;"Akredituotos vaikų dienos socialinės priežiūros administravimas";Y;N;29-JAN-21;29-JAN-21
1000142;"Išlaidų, susijusių su mobiliųjų COVID-19 testavimo punktų įrengimu ir darbo juose organizavimu, kompensavimas";Y;N;28-DEC-21;28-DEC-21
1000143;"Socialinės reabilitacijos paslaugų neįgaliesiems bendruomenėje projektų administravimas";Y;N;01-FEB-22;01-FEB-22
1000144;"Globos (rūpybos) išmokai ir globos (rūpybos) išmokos tiksliniam priedui padidintai daliai administruoti";Y;N;17-MAR-22;17-MAR-22
1000145;"Bendruomeninės veiklos savivaldybėje įgyvendinant bandomąjį modelį administravimas";Y;N;28-APR-22;06-JUN-22
1000146;"Bendruomeninės veiklos savivaldybėje kuriant palankią daugiakultūrę aplinką administravimas";Y;N;28-APR-22;28-APR-22
1000147;"Paramos užsieniečiams (vienkartinių išmokų įsikurti ir kompensacijų už vaikų ugdymą) administravimas";Y;N;30-MAY-22;30-MAY-22
1000150;Nenaudojama;Y;N;20-NOV-07;13-FEB-13
1000151;"Tėvų mokesčio surinkimas jaunimo politiką  įgyvendinančiose įstaigose";Y;N;13-FEB-13;13-FEB-13
1000152;"Išlaidų, susijusių su minimalios algos padidėjimu, finansavimas";Y;N;07-NOV-16;07-NOV-16
1000153;"Įstaigų darbuotojų darbo apmokėjimo įstatymui laipsniškai įgyvendinti (tarpusavio atsiskaitymai)";Y;N;06-JUN-17;06-JUN-17
1000154;"Neformalaus ugdymo įstaigų veiklos finansavimas ir plėtra (69 šalt.)";Y;N;21-FEB-19;21-FEB-19
