ORG_ID;PASKOLOS_DAVEJAS;SUTARTIES_NR;PASKOLOS_KLASIFIKACIJA;SKOLOS_TIPAS;VALIUTA;INVOICE_NUM;DOK_METAI;PERIODAS;DOK_DK_DATA;DOK_TYPE;INVOICE_TYPE;DOK_NR;APYVARTOS_TIPAS
119;"SEB bankas";A64-19(3.4.-FN-1);S;PALUKANOS;LTL;"SEB A64-19/02";2009;200908;06-AUG-09;Įsipareigojimas;Standard;"SEB A64-19/02";Įsipareigojimas;1702618.49
119;"Nordea Bank AB Lietuvos skyrius";KS02/07/02;S;PALUKANOS;LTL;KS02/08/02-02;2009;200908;07-AUG-09;Įsipareigojimas;Standard;KS02/08/02-02;Įsipareigojimas;105460.84
119;ERPB;22826;S;PALUKANOS;EUR;22826/3;2009;200908;03-AUG-09;Įsipareigojimas;Standard;22826/3;Įsipareigojimas;27865.8
119;"Nordea Bank AB Lietuvos skyrius";KS04/07/05;S;PALUKANOS;LTL;Palūkanos/05/09;2009;200909;01-SEP-09;Įsipareigojimas;Standard;Palūkanos/05/09;Įsipareigojimas;27217.93
112;"UniCredit Bank AS LT";64;S;PALUKANOS;LTL;rugsėjis;2009;200909;10-SEP-09;Įsipareigojimas;Standard;rugsėjis;Įsipareigojimas;33748.46
112;"VMI prie LRFM";14-09-41;S;PALUKANOS;LTL;rugsėjis;2009;200909;21-SEP-09;Įsipareigojimas;Standard;rugsėjis;Įsipareigojimas;586.98
119;"Nordea Bank AB Lietuvos skyrius";KS04/07/05;S;PALUKANOS;LTL;palūkanos/10;2009;200910;01-OCT-09;Įsipareigojimas;Standard;palūkanos/10;Įsipareigojimas;28156.51
119;"SEB bankas";0020312020094/09;S;PALUKANOS;LTL;"Palūk seb-09/09";2009;200909;30-SEP-09;Įsipareigojimas;Standard;"Palūk seb-09/09";Įsipareigojimas;14613.8
119;"SEB bankas";0040512020517-05;S;PALUKANOS;LTL;"palūk seb517/09";2009;200909;30-SEP-09;Įsipareigojimas;Standard;"palūk seb517/09";Įsipareigojimas;12457.12
119;"SEB bankas";0040512020516-05;S;PALUKANOS;LTL;"palūk seb 516/09";2009;200909;30-SEP-09;Įsipareigojimas;Standard;"palūk seb 516/09";Įsipareigojimas;14071.44
119;"SEB bankas";A64-40/001061201023-21;S;PALUKANOS;LTL;"SEB A64-40/09";2009;200909;30-SEP-09;Įsipareigojimas;Standard;"SEB A64-40/09";Įsipareigojimas;210730.18
113;"Nordea finance Lithuania, UAB";20040205;V;PALUKANOS;LTL;NFL185292;2009;200909;03-SEP-09;Įsipareigojimas;Standard;NFL185292;Įsipareigojimas;1754.06
119;"LR finansų ministerija";235;V;PALUKANOS;USD;"FINMIN 235/02";2009;200909;30-SEP-09;Įsipareigojimas;Standard;"FINMIN 235/02";Įsipareigojimas;8249.04
