DEPARTAMENTAS;SUTARTIES_TIPAS;SUTARTIES_NUMERIS;SUDARYMO_METAI;SUTARTIES_PRADZIOS_DATA;SUTARTIES_PABAIGOS_DATA;TIEKEJAS;TIEKEJO_KODAS;SUTARTIES_APRASAS;SUTARTIES_SUMA;SISTEMINIS_NUMERIS;
"Vilniaus miesto savivaldybės administracija";"Sutarties priedas";"A62-38/14(3.10.21-AD4)";"2014";"21-MAY-14";"21-MAY-15";"Vizualinių komunikacijų studija, VšĮ";"124631861";"2013-07-09 sutarties Nr.A62-22(3.10.21-UK) pratęsimas (Riboženklių "Vilnius" ir šviesdėžių remonto darbai)";"";"5827";
"Vilniaus miesto savivaldybės administracija";"Įsakymas dėl našlaičiams skiriamos pašalpos";"A15-1306/14(2.1.4-SR7)";"2014";"11-JUN-14";"10-JUN-16";"nuasmeninta";"nuasmeninta";"Įsakymas dėl našlaičiams skiriamos pašalpos";"810.65";"5885";
"Vilniaus miesto savivaldybės administracija";"Įsakymas dėl našlaičiams skiriamos pašalpos";"A15-1306/14(2.1.4-SR7)";"2014";"11-JUN-14";"10-JUN-16";"nuasmeninta";"nuasmeninta";"Įsakymas dėl našlaičiams skiriamos pašalpos";"291.08";"5886";
"Vilniaus miesto savivaldybės administracija";"Įsakymas dėl našlaičiams skiriamos pašalpos";"A15-1306/14(2.1.4-SR7)";"2014";"11-JUN-14";"10-JUN-16";"nuasmeninta";"nuasmeninta";"Įsakymas dėl našlaičiams skiriamos pašalpos";"1177.6";"5887";
"Vilniaus miesto savivaldybės administracija";"Įsakymas dėl našlaičiams skiriamos pašalpos";"A15-1306/14(2.1.4-SR7)";"2014";"11-JUN-14";"10-JUN-16";"nuasmeninta";"nuasmeninta";"Įsakymas dėl našlaičiams skiriamos pašalpos";"399.99";"5888";
"Vilniaus miesto savivaldybės administracija";"Įsakymas dėl našlaičiams skiriamos pašalpos";"A15-1306/14(2.1.4-SR7)";"2014";"11-JUN-14";"10-JUN-16";"nuasmeninta";"nuasmeninta";"Įsakymas dėl našlaičiams skiriamos pašalpos";"621.26";"5889";
"Vilniaus miesto savivaldybės administracija";"Įsakymas dėl našlaičiams skiriamos pašalpos";"A15-959/14(2.1.4-SR7)";"2014";"30-APR-14";"29-APR-16";"nuasmeninta";"nuasmeninta";"Įsakymas dėl našlaičiams skiriamos pašalpos";"1109";"5794";
"Vilniaus miesto savivaldybės administracija";"Įsakymas dėl našlaičiams skiriamos pašalpos";"A15-959/14(2.1.4-SR7)";"2014";"30-APR-14";"29-APR-16";"nuasmeninta";"nuasmeninta";"Įsakymas dėl našlaičiams skiriamos pašalpos";"739.73";"5795";
"Vilniaus miesto savivaldybės administracija";"Įsakymas dėl našlaičiams skiriamos pašalpos";"AA15-987/14(2.1.4-SR7)";"2014";"05-MAY-14";"04-MAY-16";"nuasmeninta";"nuasmeninta";"Įsakymas dėl našlaičiams skiriamos pašalpos";"1254.92";"5796";
"Vilniaus miesto savivaldybės administracija";"Viešasis pirkimas";"A64-81/14(3.10.22-AD4)";"2014";"15-JUN-14";"14-JUN-15";"Registrų centras, VĮ";"124110246";"Neįregistruotų daiktų skaičiuoklės paslaugų teikimo sutartis";"";"5875";
