Reikðmë	Iðversta reikðmë	Apraðas	Ájungtas	Nuo	Iki	[  ]	
4.2.2.4.1.2.	4.2.2.4.1.2.	Ilgalaikës	*			.PAJAMOS.936.	
4.2.2.4.1.2.P.	4.2.2.4.1.2.P.	Ilgalaikës				.PAJAMOS.937.	
4.2.2.4.1.P.	4.2.2.4.1.P.	Paskolos (surinktos)				.PAJAMOS.933.	
4.2.2.4.P.	4.2.2.4.P.	Paskolos (surinktos)				.PAJAMOS.931.	
4.2.2.5.	4.2.2.5.	Akcijos (parduotos) ir kitas nuosavas kapitalas	*			.PAJAMOS.938.	
4.2.2.5.1.	4.2.2.5.1.	Akcijos (parduotos) ir kitas nuosavas kapitalas	*			.PAJAMOS.940.	
4.2.2.5.1.1.	4.2.2.5.1.1.	Akcijos (parduotos) ir kitas nuosavas kapitalas	*			.PAJAMOS.942.	
4.2.2.5.1.1.P.	4.2.2.5.1.1.P.	Akcijos (parduotos) ir kitas nuosavas kapitalas				.PAJAMOS.943.	
4.2.2.5.1.P.	4.2.2.5.1.P.	Akcijos (parduotos) ir kitas nuosavas kapitalas				.PAJAMOS.941.	
4.2.2.5.P.	4.2.2.5.P.	Akcijos (parduotos) ir kitas nuosavas kapitalas				.PAJAMOS.939.	
4.2.2.6.	4.2.2.6.	Draudimo techniniai atidëjiniai	*			.PAJAMOS.944.	
4.2.2.6.1.	4.2.2.6.1.	Draudimo techniniai atidëjiniai	*			.PAJAMOS.946.	
4.2.2.6.1.1.	4.2.2.6.1.1.	Draudimo techniniai atidëjiniai	*			.PAJAMOS.948.	
4.2.2.6.1.1.P.	4.2.2.6.1.1.P.	Draudimo techniniai atidëjiniai				.PAJAMOS.949.	
4.2.2.6.1.P.	4.2.2.6.1.P.	Draudimo techniniai atidëjiniai				.PAJAMOS.947.	
4.2.2.6.P.	4.2.2.6.P.	Draudimo techniniai atidëjiniai				.PAJAMOS.945.	
4.2.2.7.	4.2.2.7.	Kitos gautinos sumos	*			.PAJAMOS.950.	
4.2.2.7.1.	4.2.2.7.1.	Kitos gautinos sumos	*			.PAJAMOS.952.	
4.2.2.7.1.1.	4.2.2.7.1.1.	Trumpalaikës	*			.PAJAMOS.954.	
4.2.2.7.1.1.P.	4.2.2.7.1.1.P.	Kitos gautinos sumos				.PAJAMOS.955.	
4.2.2.7.1.2.	4.2.2.7.1.2.	Ilgalaikës	*			.PAJAMOS.956.	
4.2.2.7.1.P.	4.2.2.7.1.P.	Kitos gautinos sumos				.PAJAMOS.953.	
4.2.2.7.P.	4.2.2.7.P.	Kitos gautinos sumos				.PAJAMOS.951.	
4.2.2.P.	4.2.2.P.	Uþsienio				.PAJAMOS.903.	
4.2.P.	4.2.P.	Sandoriai dël finansinio turto				.PAJAMOS.846.	
4.3.	4.3.	Finansiniø ásipareigojimø prisiëmimo (skolinimosi) pajamos	*			.PAJAMOS.957.	
4.3.1.	4.3.1.	Vidaus	*			.PAJAMOS.959.	
4.3.1.1.	4.3.1.1.	Grynieji pinigai ir indëliai banke (nacionaline valiuta)	*			.PAJAMOS.961.	
4.3.1.1.1.	4.3.1.1.1.	Grynieji pinigai ir indëliai banke (nacionaline valiuta)	*			.PAJAMOS.963.	
4.3.1.1.1.1.	4.3.1.1.1.1.	Grynieji pinigai	*			.PAJAMOS.965.	
4.3.1.1.1.1.P.	4.3.1.1.1.1.P.	Grynieji pinigai				.PAJAMOS.966.	
4.3.1.1.1.2.	4.3.1.1.1.2.	Pervedamieji indëliai (pinigai bankuose)	*			.PAJAMOS.967.	
4.3.1.1.1.2.P.	4.3.1.1.1.2.P.	Pervedamieji indëliai (pinigai bankuose)				.PAJAMOS.968.	
4.3.1.1.1.3.	4.3.1.1.1.3.	Kiti indëliai (pinigai bankuose)	*			.PAJAMOS.969.	
4.3.1.1.1.3.P.	4.3.1.1.1.3.P.	Kiti indëliai (pinigai bankuose)				.PAJAMOS.970.	
4.3.1.1.1.P.	4.3.1.1.1.P.	Grynieji pinigai ir indëliai banke (nacionaline valiuta)				.PAJAMOS.964.	
4.3.1.1.P.	4.3.1.1.P.	Grynieji pinigai ir indëliai banke (nacionaline valiuta)				.PAJAMOS.962.	
4.3.1.2.	4.3.1.2.	Vertybiniai popieriai (iðleisti), iðskyrus akcijas	*			.PAJAMOS.971.	
4.3.1.2.1.	4.3.1.2.1.	Vertybiniai popieriai (iðleisti), iðskyrus akcijas	*			.PAJAMOS.973.	
4.3.1.2.1.1.	4.3.1.2.1.1.	Trumpalaikiai	*			.PAJAMOS.975.	
4.3.1.2.1.1.P.	4.3.1.2.1.1.P.	Trumpalaikiai				.PAJAMOS.976.	
4.3.1.2.1.2.	4.3.1.2.1.2.	Ilgalaikiai	*			.PAJAMOS.977.	
4.3.1.2.1.2.P.	4.3.1.2.1.2.P.	Ilgalaikiai				.PAJAMOS.978.	
4.3.1.2.1.P.	4.3.1.2.1.P.	Vertybiniai popieriai (iðleisti), iðskyrus akcijas				.PAJAMOS.974.	
4.3.1.2.P.	4.3.1.2.P.	Vertybiniai popieriai (iðleisti), iðskyrus akcijas				.PAJAMOS.972.	
4.3.1.3.	4.3.1.3.	Iðvestinës finansinës priemonës	*			.PAJAMOS.979.	
4.3.1.3.1.	4.3.1.3.1.	Iðvestinës finansinës priemonës	*			.PAJAMOS.981.	
4.3.1.3.1.1.	4.3.1.3.1.1.	Iðvestinës finansinës priemonës	*			.PAJAMOS.983.	
4.3.1.3.1.1.P.	4.3.1.3.1.1.P.	Iðvestinës finansinës priemonës				.PAJAMOS.984.	
4.3.1.3.1.P.	4.3.1.3.1.P.	Iðvestinës finansinës priemonës				.PAJAMOS.982.	
4.3.1.3.P.	4.3.1.3.P.	Iðvestinës finansinës priemonës				.PAJAMOS.980.	
4.3.1.4.	4.3.1.4.	Paskolos (gautos)	*			.PAJAMOS.985.	
4.3.1.4.1.	4.3.1.4.1.	Paskolos (gautos)	*			.PAJAMOS.987.	
4.3.1.4.1.1.	4.3.1.4.1.1.	Trumpalaikës	*			.PAJAMOS.989.	
4.3.1.4.1.1.A.	4.3.1.4.1.1.A.	Trumpalaikës	*			.PAJAMOS.990.	
4.3.1.4.1.1.B.	4.3.1.4.1.1.B.	Trumpalaikës ið valstybës biudþeto	*			.PAJAMOS.991.	
4.3.1.4.1.1.P.	4.3.1.4.1.1.P.	Trumpalaikës				.PAJAMOS.992.	
4.3.1.4.1.2.	4.3.1.4.1.2.	Ilgalaikës	*			.PAJAMOS.993.	
4.3.1.4.1.2.P.	4.3.1.4.1.2.P.	Ilgalaikës				.PAJAMOS.994.	
4.3.1.4.1.P.	4.3.1.4.1.P.	Paskolos (gautos)				.PAJAMOS.988.	
4.3.1.4.P.	4.3.1.4.P.	Paskolos (gautos)				.PAJAMOS.986.	
4.3.1.5.	4.3.1.5.	Akcijos (iðleistos) ir kitas nuosavas kapitalas	*			.PAJAMOS.995.	
4.3.1.5.1.	4.3.1.5.1.	Akcijos (iðleistos) ir kitas nuosavas kapitalas	*			.PAJAMOS.997.	
4.3.1.5.1.1.	4.3.1.5.1.1.	Akcijos (iðleistos) ir kitas nuosavas kapitalas	*			.PAJAMOS.999.	
4.3.1.5.1.1.P.	4.3.1.5.1.1.P.	Akcijos (iðleistos) ir kitas nuosavas kapitalas				.PAJAMOS.1000.	
4.3.1.5.1.P.	4.3.1.5.1.P.	Akcijos (iðleistos) ir kitas nuosavas kapitalas				.PAJAMOS.998.	
4.3.1.5.P.	4.3.1.5.P.	Akcijos (iðleistos) ir kitas nuosavas kapitalas				.PAJAMOS.996.	
4.3.1.6.	4.3.1.6.	Draudimo techniniai atidëjiniai	*			.PAJAMOS.1001.	
4.3.1.6.1.	4.3.1.6.1.	Draudimo techniniai atidëjiniai	*			.PAJAMOS.1003.	
4.3.1.6.1.1.	4.3.1.6.1.1.	Draudimo techniniai atidëjiniai	*			.PAJAMOS.1005.	
4.3.1.6.1.1.P.	4.3.1.6.1.1.P.	Draudimo techniniai atidëjiniai				.PAJAMOS.1006.	
4.3.1.6.1.P.	4.3.1.6.1.P.	Draudimo techniniai atidëjiniai				.PAJAMOS.1004.	
4.3.1.6.P.	4.3.1.6.P.	Draudimo techniniai atidëjiniai				.PAJAMOS.1002.	
4.3.1.7.	4.3.1.7.	Kitos gautinos sumos	*			.PAJAMOS.1007.	
4.3.1.7.1.	4.3.1.7.1.	Kitos gautinos sumos	*			.PAJAMOS.1009.	
4.3.1.7.1.1.	4.3.1.7.1.1.	Trumpalaikës	*			.PAJAMOS.1011.	
4.3.1.7.1.1.P.	4.3.1.7.1.1.P.	Kitos gautinos sumos				.PAJAMOS.1012.	
4.3.1.7.1.2.	4.3.1.7.1.2.	Ilgalaikës	*			.PAJAMOS.1013.	
4.3.1.7.1.P.	4.3.1.7.1.P.	Kitos gautinos sumos				.PAJAMOS.1010.	
4.3.1.7.P.	4.3.1.7.P.	Kitos gautinos sumos				.PAJAMOS.1008.	
4.3.1.P.	4.3.1.P.	Vidaus				.PAJAMOS.960.	
4.3.2.	4.3.2.	Uþsienio	*			.TURTUI.1014.	
4.3.2.1.	4.3.2.1.	Grynieji pinigai ir indëliai banke (uþsienio valiuta)	*			.PAJAMOS.1016.	
4.3.2.1.1.	4.3.2.1.1.	Grynieji pinigai ir indëliai banke (uþsienio valiuta)	*			.PAJAMOS.1018.	
4.3.2.1.1.1.	4.3.2.1.1.1.	Grynieji pinigai	*			.PAJAMOS.1020.	
4.3.2.1.1.1.P.	4.3.2.1.1.1.P.	Grynieji pinigai				.PAJAMOS.1021.	
4.3.2.1.1.2.	4.3.2.1.1.2.	Pervedamieji indëliai (pinigai bankuose)	*			.PAJAMOS.1022.	
4.3.2.1.1.2.P.	4.3.2.1.1.2.P.	Pervedamieji indëliai (pinigai bankuose)				.PAJAMOS.1023.	
4.3.2.1.1.3.	4.3.2.1.1.3.	Kiti indëliai (pinigai bankuose)	*			.PAJAMOS.1024.	
4.3.2.1.1.3.P.	4.3.2.1.1.3.P.	Kiti indëliai (pinigai bankuose)				.PAJAMOS.1025.	
4.3.2.1.1.P.	4.3.2.1.1.P.	Grynieji pinigai ir indëliai banke (uþsienio valiuta)				.PAJAMOS.1019.	
4.3.2.1.P.	4.3.2.1.P.	Grynieji pinigai ir indëliai banke (uþsienio valiuta)				.PAJAMOS.1017.	
4.3.2.2.	4.3.2.2.	Vertybiniai popieriai (iðleisti), iðskyrus akcijas	*			.PAJAMOS.1026.	
4.3.2.2.1.	4.3.2.2.1.	Vertybiniai popieriai (iðleisti), iðskyrus akcijas	*			.PAJAMOS.1028.	
4.3.2.2.1.1.	4.3.2.2.1.1.	Trumpalaikiai	*			.PAJAMOS.1030.	
4.3.2.2.1.1.P.	4.3.2.2.1.1.P.	Trumpalaikiai				.PAJAMOS.1031.	
4.3.2.2.1.2.	4.3.2.2.1.2.	Ilgalaikiai	*			.PAJAMOS.1032.	
