Reikðmë	Iðversta reikðmë	Apraðas	Ájungtas	Nuo	Iki	[  ]	
1767	1767	Biudþ. paj. maþ. komp.	*			.Taip..Biudþeto skyrius EUR..4241001.4241004.4241001.4241004.4242001.4242004.4241002..7014001..4242003.Taip.Ne.Taip..7014002.7024001.4242002.2282101.4241003.4242003.4241003.2282101.2282101..4141001.4142001.4141001.2224001.4241002	
18	18	Paskolos valstybës vardu	*			.Ne.Taip.Biudþeto skyrius EUR..4251001.4251004.4251001.4251004.4252001.4252004.4251002..7015001.Paskolos valstybës vardu.4252003.Taip..Taip..7015002.7025001.4252002.2282101.4251003.4252003.4251003.2282101.2282101..4151001.4152001.4151001.2225001.4251002	
19	19	Paskolos su valstybës garantija	*			.Ne.Taip.Biudþeto skyrius EUR..4251001.4251004.4251001.4251004.4252001.4252004.4251002..7015001.Paskolos su valstybës garantija.4252003.Taip..Taip..7015002.7025001.4252002.2282101.4251003.4252003.4251003.2282101.2282101..4151001.4152001.4151001.2225001.4251002	
20	20	Savivaldybës biudþeto lëðos (Specialiosios programos lëðos/ lëðø uþ paslaugas surinkimas ir panaudojimas)	*			.Taip..Biudþeto skyrius EUR..211500K.211500K.211500K.211500K.211500K.211500K.211500K..7015001..6953001.Ne.Taip.Taip......6953001.6953001.6953001.......2298001.211500K	
21	21	Tarpusavio atsiskaitymai (lëðos ið kitø valdymo lygiø)	*			.Taip..Biudþeto skyrius EUR..4241001.4241004.4241001.4241004.4242001.4242004.4241002..7014001..4242003.Taip..Taip..7014002.7024001.4242002.2282101.4241003.4242003.4241003.2282101.2282101..4141001.4142001.4141001.2224001.4241002	
22	22	Privalomojo sveikatos draudimo fondo lëðos	*			.Ne..Biudþeto skyrius EUR..4261001.4261004.4261001.4261004.4262001.4262004.4261002..7016001..4262003.Taip..Taip..7016002.7026001.4262002.2282101.4261003.4262003.4261003.2282101.2282101..4161001.4162001.4161001.2226001.4261002	
23	23	Neatlygintinai, pagal dovanojimo, paramos ir/ ar labdaros sutartá gautas turtas	*			.Ne..Biudþeto skyrius EUR..4261001.4261004.4261001.4261004.4262001.4262004.4261002..7016001..4262003.Taip.Ne.Ne..7016002.7026001.4262002.2282101.4261003.4262003.4261003.2282101.2282101..4161001.4162001.4161001.2226001.4261002	
24	24	Kitos lëðos	*			.Ne.Ne.Biudþeto skyrius EUR..4261001.4261004.4261001.4261004.4262001.4262004.4261002..7016001..4262003.Taip..Taip.Taip.7016002.7026001.4262002.2282101.4261003.4262003.4261003.2282101.2282101..4161001.4162001.4161001.2226001.4261002	
25	25	Pajamos ið turto nuomos	*			.Taip..Biudþeto skyrius EUR..211500K.211500K.211500K.211500K.211500K.211500K.211500K..7015001..6953001.Ne.Taip.Taip......6953001.6953001.6953001.......2298001.211500K	
26	26	Komercinis energijos taupymo apyvartinis fondas.	*			.Ne..Biudþeto skyrius EUR..4251001.4251004.4251001.4251004.4252001.4252004.4251002..7015001..4252003.Ne..Ne..7015002.7025001.4252002.2282101.4251003.4252003.4251003.2282101.2282101..4151001.4152001.4151001.2225001.4251002	
27	27	Mokinio krepðelio lëðos ið kitø savivaldybiø	*			.Taip..Biudþeto skyrius EUR..4241001.4241004.4241001.4241004.4242001.4242004.4241002..7014001..4242003.Taip.Ne.Taip..7014002.7024001.4242002.2282101.4241003.4242003.4241003.2282101.2282101..4141001.4142001.4141001..4241002	
28	28	Paramos lëðos socialinës infrastruktûros plëtrai	*			.Taip.Ne.Biudþeto skyrius EUR..4261001.4261004.4261001.4261004.4262001.4262004.4261002..7016001..4262003.Taip.Ne.Taip.Taip.7016002.7026001.4262002.2282101.4261003.4262003.4261003.2282101.2282101..4161001.4162001.4161001.2226001.4261002	
29	29	Kitos pajamos	*			.Ne.Taip.Biudþeto skyrius EUR..211500K.211500K.211500K.211500K.211500K.211500K.211500K..7015001..6953001.Ne.Taip.Taip...............2298001.211500K	
2M01	2M01	Civilinës bûklës aktø registravimas	*			.Taip..Biudþeto skyrius EUR..4241001.4241004.4241001.4241004.4242001.4242004.4241002..7014001..4242003.Taip.Ne.Taip..7014002.7024001.4242002.2282101.4241003.4242003.4241003.2282101.2282101..4141001.4142001.4141001.2224001.4241002	
2M02	2M02	Gyventojø registro tvarkymas ir duomenø valstybës registrui teikimas	*			.Taip..Biudþeto skyrius EUR..4241001.4241004.4241001.4241004.4242001.4242004.4241002..7014001..4242003.Taip.Ne.Taip..7014002.7024001.4242002.2282101.4241003.4242003.4241003.2282101.2282101..4141001.4142001.4141001.2224001.4241002	
2M03	2M03	Nuosavybës teisiø atkûrimo nagrinëjimas	*			.Taip..Biudþeto skyrius EUR..4241001.4241004.4241001.4241004.4242001.4242004.4241002..7014001..4242003.Taip.Ne.Taip..7014002.7024001.4242002.2282101.4241003.4242003.4241003.2282101.2282101..4141001.4142001.4141001.2224001.4241002	
2M04	2M04	Valstybës garantijø nuomininkams, iðsikeliantiems vykdymas	*			.Taip..Biudþeto skyrius EUR..4241001.4241004.4241001.4241004.4242001.4242004.4241002..7014001..4242003.Taip.Ne.Taip..7014002.7024001.4242002.2282101.4241003.4242003.4241003.2282101.2282101..4141001.4142001.4141001.2224001.4241002	
