Reikðmë	Iðversta reikðmë	Apraðas	Ájungtas	Nuo	Iki	[  ]	
1097008	1097008	UAB „Grinda“				.	
1097009	1097009	UAB „Naujininkø ûkis“				.	
1097010	1097010	UAB „Vilniaus vandenys“				.	
1097011	1097011	UAB „Vilniaus parkai“				.	
1097012	1097012	UAB „Akvalangas“				.	
1098001	1098001	VðÁ „Vilniaus butai“				.	
1098002	1098002	VðÁ „Skalvijos“ kino centras				.	
1098003	1098003	Vðá Vilniaus universitetinë slaugos ir ilgalaikio gydymo likoninë				.	
1098004	1098004	VðÁ „Vilniaus rotuðë“				.	
1098005	1098005	VðÁ Vilkpëdës ligoninë				.	
1098006	1098006	VðÁ Lazdynø poliklinika				.	
1098007	1098007	VðÁ Vilniaus niesto psichikos sveikatos centras				.	
1098008	1098008	VðÁ Naujosios Vilnios poliklinika				.	
1098009	1098009	VðÁ Grigiðkiø pirminis sveikatos centras				.	
1098010	1098010	VðÁ Centro poliklinika				.	
1098011	1098011	VðÁ Savanoriø centras				.	
1099000	1099000	Biudþetinës ástaigos				.	
1099001	1099001	Grigiðkiø „Ðviesos“ vidurinë mokykla				.	
1099002	1099002	Vilniaus Radvilø gimnazija				.	
1099004	1099004	Vilniaus Jaruzalës vidurinë mokykla				.	
1099005	1099005	Trakø Vokës kultûros namai				.	
1099006	1099006	Vilniaus lopðelis-darþelis „Saulëgràþa“				.	
1099007	1099007	Vilniaus Naujosios Vilnios kultûros centras				.	
1099008	1099008	Vilniaus lopðelis-darþelis „Pagrandukas“				.	
1099009	1099009	Vilniaus specialusis darþelis „Dobilëlis“				.	
1099010	1099010	Grigiðkiø kultûros centras				.	
1099011	1099011	M.K. Èiurlionio namai-memorialinis kultûros centras				.	
1099012	1099012	Vilniaus lopðelis-darþelis „Þiogelis“				.	
1099013	1099013	Vilniaus Lazdynø vidurinës mokykla				.	
1099014	1099014	Vilniaus Aleksandro Puðkino vidurinë mokykla				.	
1099015	1099015	Vilniaus Karoliniðkiø muzikos mokykla				.	
1099016	1099016	Vilniaus lopðelis-darþelis „Medynëlis“				.	
1099017	1099017	Vilniaus lopðelis-darþelis „Sakalëlis“				.	
1099018	1099018	Vilniaus lopðelis-darþelis „Auðrinë“				.	
1099019	1099019	Vilniaus lopðelis-darþelis „Pelenë“				.	
1099020	1099020	Vilniaus lopðelis-darþelis „Rûta“				.	
1099021	1099021	Vilniaus „Varpo“ suaugusiøjø vidurinë mokykla				.	
1099022	1099022	Vilniaus lopðelio-darþelio „Prie pasakø parko“				.	
1099023	1099023	Vilniaus lopðelis-darþelis „Þemuogëlë“				.	
1099024	1099024	Vilniaus darþelis-mokykla „Ramunëlë“				.	
1099025	1099025	Vilniaus „Sietyno“ sporto mokykla				.	
1099026	1099026	Vilniaus lopðelis-darþelis „Vilija“				.	
1099027	1099027	Vilniaus Salomëjos Nëries gimnazija				.	
1099028	1099028	Vilniaus Algirdo muzikos mokykla				.	
1099029	1099029	Vilniaus darþelis-mokykla „Lokiukas“				.	
1099030	1099030	Vilniaus Vaduvos darþelis-mokykla				.	
1099031	1099031	Vilniaus Joachimo Lelevelio vidurinë mokykla				.	
1099032	1099032	Vilniaus vaikø ir jaunimo klubas „Þirmûnai“				.	
1099033	1099033	Vilniaus Mikalojaus Daukðos vidurinë mokykla				.	
1099034	1099034	Vilniaus „Laisvës“ gimnazija				.	
