Reikðmë	Iðversta reikðmë	Apraðas	Ájungtas	Nuo	Iki	[  ]	
01090102023	01090102023	Ikimokyklinio ugdymo ir prieðmokyklinio ugdymo grupiø erdviø modernizavimas  lopðelyje-darþelyje „Auðrelë“	*			..Ne.......	
01090102024	01090102024	Lopðelio-darþelio „Ðvelnukas“ erdviø renovavimas ir grupiø árangos modernizavimas	*			..Ne.......	
01090102025	01090102025	Vilniaus lopðelio-darþelio „Þolynëlis“ remontas	*			..Ne.......	
01090102026	01090102026	Vilniaus lopðelio-darþelio „Puriena“ stogo remontas	*			..Ne.......	
01090102027	01090102027	Langø, stogø, sanmazgø remonto atlikimas ugdymo ástaigose	*			..Taip.......	
01090102028	01090102028	Vilniaus lopðelio-darþelio „Kaðtonas“ remontas, árengiant 3 grupes	*			..Taip.......	
01090102029	01090102029	Vilniaus darþelio-mokyklos „Volungë“ remontas	*			..Taip.......	
01090102030	01090102030	Vilniaus lopðelio-darþelio „Þelmenëliai“ patalpø ir árangos atnaujinimas	*			..Ne.......	
01090102031	01090102031	Pastato Justiniðkiø g. 65 pertvarkymas á lopðelá-darþelá (buvusi Ðolomo Aleichemo vid.)	*			..Taip.......	
01090102032	01090102032	Ikimokyklinio ir prieðmokyklinio ugdymo grupiø árengimas Vilniaus miesto ðvietimo ástaigose	*			..Taip.......	
01090102033	01090102033	Vilniaus lopðelio-darþelio „Àþuolas“, Þirmûnø g. 32, ugdymo aplinkos modernizavimas	*			..Taip.......	
01090102034	01090102034	Vilniaus lopðelio-darþelio „Daigelis“, Dariaus ir Girëno g. 14, ugdymo aplinkos modernizavimas	*			..Taip.......	
01090102035	01090102035	Vilniaus lopðelio-darþelio „Geniukø kalvë“, Muitinës g. 30, remontas	*			..Taip.......	
01090103	01090103	Remonto darbø atlikimas pradinio mokymo ástaigose	*			..Ne....Ne...	
01090103001	01090103001	Vilniaus miesto ðvietimo ástaigø remonto darbai ir árangos ásigijimas	*			..Taip.......	
01090103002	01090103002	Materialiojo ir nematerialiojo turto ásigijimas ugdymo ástaigoms	*			..Taip.......	
01090103003	01090103003	Vilniaus miesto ugdymo ástaigø sporto aikðteliø renovavimas	*			..Ne.......	
01090103004	01090103004	Ugdymo ástaigø "Langø-stogø-sanmazgø keitimo programa"	*			..Taip.......	
01090103005	01090103005	Ðvietimo ástaigø kapitalinis remontas (dalinai finansuojamas Lenkijos Respublikos fondo "Wspolnota Polska")	*			..Taip.......	
01090103006	01090103006	Vilniaus Filaretø pradinës mokylos remontas	*			..Ne.......	
01090104	01090104	Remonto darbø atlikimas bendrojo lavinimo ástaigose	*			..Ne....Ne...	
01090104001	01090104001	Vilniaus Mikalojaus Daukðos vidurinës mokyklos pastato Vilniuje, Antaklanio g. 120, rekonstravimas*	*			..Ne....Taip...	
01090104002	01090104002	Vilniaus Sausio -13-osios vidurinës mokyklos pastato Vilniuje, Architektø g. 166, rekonstravimas*	*			..Taip....Taip...	
01090104003	01090104003	Vilniaus Sofijos Kovalevskajos vidurinës mokyklos Vilniuje, Dûkðtø g. 30, sporto aikðteliø árengimas ir rekonstravimas*	*			..Ne....Taip...	
01090104004	01090104004	Vilniaus Karoliniðkiø gimnazijos pastato Vilniuje, Sausio -13-osios g. 17, rekonstravimas*	*			..Ne....Taip...	
01090104005	01090104005	Vilniaus "Minties" gimnazijos pastato Vilniuje, Erfurto g. 23, rekonstravimas*	*			..Ne....Taip...	
01090104006	01090104006	Vilniaus Simono Daukanto vidurinës mokyklos pastato Vilniuje, J. Jasinskio g. 11, rekonstravimas	*			..Ne....Taip...	
01090104007	01090104007	Vilniaus Mykolo Birþiðkos gimnazijos pastato Vilniuje, Taikos g. 81, rekonstravimas	*			..Ne.......	
01090104008	01090104008	Vilniaus Karoliniðkiø gimnazijos pastato Vilniuje, Sausio 13-osios g. 17, rekonstravimas (ES)	*			..Ne.......	
01090104009	01090104009	Energijos efektyvumo didinimas Vilniaus „Minties“ gimnazijoje	*			..Ne.......	
01090104010	01090104010	Vilniaus Senamiesèio vidurinës mokyklos pastato renovacija	*			..Ne.......	
01090104011	01090104011	Vilniaus miesto ðvietimo ástaigø remonto darbai ir árangos ásigijimas	*			..Taip.......	
01090104012	01090104012	Materialiojo ir nematerialiojo turto ásigijimas ugdymo ástaigoms	*			..Ne.......	
01090104013	01090104013	Vilniaus miesto ugdymo ástaigø sporto aikðteliø renovavimas	*			..Ne.......	
01090104014	01090104014	Ugdymo ástaigø "Langø-stogø-sanmazgø keitimo programa"	*			..Ne.......	
01090104015	01090104015	Ðvietimo ástaigø kapitalinis remontas (dalinai finansuojamas Lenkijos Respublikos fondo "Wspolnota Polska")	*			..Taip.......	
01090104016	01090104016	Sporto aikðteliø árengimas ir renovavimas ðalia Vilniaus mokyklø (EEE ir Norvegijos fondas)	*			..Ne.......	
01090104017	01090104017	Ugdymo ástaigø rekonstravimas, modernizavimas, árangos ir minkðto inventoriaus ásigijimas	*			..Ne.......	
01090104018	01090104018	Joachimo Lelevelio vidurinës mokyklos  ir Salomëjos Nëries gimnazijos modernizavimas ir renovavimas	*			..Ne.......	
01090104019	01090104019	Vilniaus Juzefo Kraðevskio vidurinës mokyklos katilinës remontas, keièiant kuro rûðá ir san. mazgø remontas	*			..Ne.......	
01090104020	01090104020	Vilniaus suaugusiøjø ugdymo ástaigø rekonstrukcijos projektavimo ir techninës prieþiûros darbai (Vilniaus „Akiraèio“ suaugusiøjø vidurinë mokykla, Vilniaus „Þidinio“ suaugusiøjø vidurinë mokykla, Vilniaus suaugusiøjø mokymo centras)	*			..Ne.......	
01090104021	01090104021	Energijos vartojimo efektyvumo didinimas Vilniaus Þemynos gimnazijoje (ES)	*			..Ne.......	
01090104022	01090104022	Vilniaus "Spindulio" pagrindinës mokyklos langams ir durims pakeisti**	*			..Ne.......	
01090104023	01090104023	Vilniaus Gabijos gimnazijos langø, stogo remonto ir pakeitimo darbams**	*			..Ne.......	
